Collector's No,Collector(s),Tissue ID,DNA Sample ID,Order,Family,Genus
35824,"Buttler,K.P.",B GT 0018208,DB 14002,Boraginales,Boraginaceae,Symphytum bohemicum
RH 8495,"Hand,R. & John,H.",B GT 0018819,DB 13692,Boraginales,Boraginaceae,Symphytum bohemicum
2359,"Appel,O.",B GT 0018009,DB 13393,Boraginales,Boraginaceae,Symphytum bulbosum
36431,K. P. Buttler,B GT 0018375,DB 14912,Boraginales,Boraginaceae,Symphytum hidcotense
7786,"R. Hand 7786, M. Berghofer & C. Niederbichler",B GT 0017003,DB 14671,Boraginales,Boraginaceae,Symphytum officinale
2447,"Appel,O.",B GT 0017771,DB 13444,Boraginales,Boraginaceae,Symphytum officinale
9058,R. Hand,B GT 0024854,DB 15038,Boraginales,Boraginaceae,Symphytum tuberosum
2528,"Appel,O.",B GT 0018070,DB 13487,Boraginales,Boraginaceae,Symphytum officinale
36528,"Buttler,K.P.",B GT 0018580,DB 14127,Boraginales,Boraginaceae,Symphytum officinale
FJW-2016-0086,F.-J. Weicherding,B GT 0021604,DB 30737,Boraginales,Boraginaceae,Symphytum officinale
9075,R. Hand 9075 & M. Berghofer,B GT 0024875,DB 15051,Boraginales,Boraginaceae,Symphytum tuberosum
35917,"Buttler,K.P.",B GT 0018133,DB 14033,Boraginales,Boraginaceae,Symphytum uplandicum
8939,R. Hand,B GT 0024828,DB 15104,Boraginales,Boraginaceae,Symphytum uplandicum
36749,K. P. Buttler 36749 & P. Gutte,B GT 0018429,DB 14683,Ericales,Balsaminaceae,Impatiens edgeworthii
36748,K. P. Buttler 36748 & P. Gutte,B GT 0018477,DB 14682,Ericales,Balsaminaceae,Impatiens edgeworthii
RH 7801,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014848,DB 12882,Ericales,Balsaminaceae,Impatiens glandulifera
FJW-2016-0071,"Weicherding,F.-J.",B GT 0017636,DB 13259,Ericales,Balsaminaceae,Impatiens glandulifera
AMB-GBOL2-86,"Barniske,A.-M.",B GT 0017952,DB 13371,Ericales,Balsaminaceae,Impatiens glandulifera
2502,"Appel,O.",B GT 0018097,DB 13475,Ericales,Balsaminaceae,Impatiens glandulifera
36664,"Buttler,K.P.",B GT 0018451,DB 14183,Ericales,Balsaminaceae,Impatiens glandulifera
NHG 20160828-12,"Höcker,R.",B GT 0017381,DB 13296,Ericales,Balsaminaceae,Impatiens noli-tangere
AMB-GBOL2-79,"Barniske,A.-M.",B GT 0017683,DB 13364,Ericales,Balsaminaceae,Impatiens noli-tangere
36721,K. P. Buttler,B GT 0018484,DB 29458,Ericales,Balsaminaceae,Impatiens noli-tangere
MS-SH-10,"Schön,M.",B GT 0017275,DB 13281,Ericales,Balsaminaceae,Impatiens parviflora
FJW-2016-0072,"Weicherding,F.-J.",B GT 0017635,DB 13260,Ericales,Balsaminaceae,Impatiens parviflora
AMB-GBOL2-77,"Barniske,A.-M.",B GT 0017685,DB 13362,Ericales,Balsaminaceae,Impatiens parviflora
2566,"Appel,O.",B GT 0018105,DB 13491,Ericales,Balsaminaceae,Impatiens parviflora
36348,K. P. Buttler,B GT 0018604,DB 29411,Ericales,Balsaminaceae,Impatiens parviflora
8576,R. Hand,B GT 0018900,DB 15475,Ericales,Balsaminaceae,Impatiens spec.
2017-107,R. Mause,B GT 0021653,DB 30879,Ericales,Ericaceae,Andromeda polifolia
9105,R. Hand,B GT 0021957,DB 15060,Ericales,Ericaceae,Andromeda polifolia
RH 7922,"Hand,R. & Niederbichler,C.",B GT 0014722,DB 12986,Ericales,Ericaceae,Arctostaphylos alpinus
DS-2018-017,D. Schabelreiter,B GT 0024414,DB 15543,Ericales,Ericaceae,Arctostaphylos uva-ursi
NHG 20160828-04,"Höcker,R.",B GT 0017384,DB 13291,Ericales,Ericaceae,Calluna vulgaris
2574,"Appel,O.",B GT 0018017,DB 13494,Ericales,Ericaceae,Calluna vulgaris
8699,"Hand,R.",B GT 0021031,DB 13813,Ericales,Ericaceae,Calluna vulgaris
WEM077,W. Melenk (GBOL-Bioblitz 2017),B GT 0021939,DB 30988,Ericales,Ericaceae,Calluna vulgaris
2671,O. Appel,B GT 0021983,DB 30984,Ericales,Ericaceae,Calluna vulgaris
7839,R. Hand,B GT 0014810,DB 29235,Ericales,Ericaceae,Erica carnea
8659,"Hand,R.",B GT 0018982,DB 13788,Ericales,Ericaceae,Erica carnea
Neikes-Ec-1,N. Neikes,B GT 0024696,DB 15281,Ericales,Ericaceae,Erica cinerea
